pl_name,hostname,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,sy_dist,sy_disterr1,sy_disterr2
HD 189567 b,HD 189567,Radial Velocity,2021,0,14.288,0.002,-0.002,0,2.85,,,0,17.9055,0.0124,-0.0123
HD 189567 c,HD 189567,Radial Velocity,2021,0,33.688,0.025,-0.025,0,2.54,,,0,17.9055,0.0124,-0.0123
HD 189733 b,HD 189733,Radial Velocity,2005,0,2.21857567,0.00000015,-0.00000015,0,12.66617,0.11209,-0.11209,0,19.7638,0.0128,-0.0127
HD 190007 b,HD 190007,Radial Velocity,2020,0,11.724128,0.000099,-0.000099,0,4.06,,,0,12.7141,0.0101,-0.01
HD 190228 b,HD 190228,Radial Velocity,2022,0,1143.59858,1.76742,-1.7068,0,12.9,,,0,62.7146,0.12105,-0.12105
HD 190360 b,HD 190360,Radial Velocity,2003,0,2887.5,3.5,-3.6,0,13.5,,,0,16.0069,0.0159,-0.0159
HD 190360 c,HD 190360,Radial Velocity,2005,0,17.11625,0.00039,-0.00039,0,5.53,,,0,16.0069,0.0159,-0.0159
HD 190360 d,HD 190360,Radial Velocity,2026,0,88.69,0.051,-0.049,0,3.48,,,0,16.0069,0.0159,-0.0159
HD 190647 b,HD 190647,Radial Velocity,2007,0,1176.45,3.1,-2.83,0,13.4,,,0,54.4738,0.1482,-0.1475
HD 190984 b,HD 190984,Radial Velocity,2009,0,4885,1600,-1600,0,13,,,0,148.187,0.989,-0.976
HD 191806 b,HD 191806,Radial Velocity,2016,0,1603.38923,9.94172,-11.31279,0,12.5,,,0,65.6668,0.1125,-0.112
HD 191939 b,HD 191939,Transit,2020,0,8.8803256,0.0000047,-0.0000047,0,3.41,0.075,-0.075,0,53.6089,0.0733,-0.0731
HD 191939 c,HD 191939,Transit,2020,0,28.579743,0.000045,-0.000045,0,3.195,0.075,-0.075,0,53.6089,0.0733,-0.0731
HD 191939 d,HD 191939,Transit,2020,0,38.353037,0.00006,-0.00006,0,2.995,0.07,-0.07,0,53.6089,0.0733,-0.0731
HD 191939 e,HD 191939,Radial Velocity,2022,0,101.12,0.13,-0.13,0,13,,,0,53.6089,0.0733,-0.0731
HD 191939 f,HD 191939,Radial Velocity,2022,0,2898,152,-152,0,13.2,,,0,53.6089,0.0733,-0.0731
HD 191939 g,HD 191939,Radial Velocity,2022,0,284,10,-8,0,3.74,,,0,53.6089,0.0733,-0.0731
HD 192263 b,HD 192263,Radial Velocity,1999,0,24.3556,0.0046,-0.0046,0,14.2,,,0,19.6359,0.0218,-0.0217
HD 192310 b,HD 192310,Radial Velocity,2011,0,74.72,0.1,-0.1,0,4.27,,,0,8.79687,0.00925,-0.00924
